Name,Price,Rating,Number of Reviews,Product Link
"HP 14"" Chromebook - Glacier Silver (Intel N-series N100/4GB RAM/128GB SSD/Chrome OS)",$279.99,0.0,0,https://www.bestbuy.ca/en-ca/product/hp-14-chromebook-glacier-silver-intel-n-series-n100-4gb-ram-128gb-ssd-chrome-os/17981253
"ASUS CX1 15.6"" Chromebook - Transparent Silver (Intel Celeron N4500/8GB RAM/128GB eMMC/ChromeOS)",$299.99,3.75,4,https://www.bestbuy.ca/en-ca/product/asus-cx1-15-6-chromebook-transparent-silver-intel-celeron-n4500-8gb-ram-128gb-emmc-chromeos/17944486
"Apple MacBook Air 13"" w/ Touch ID (2024) - Midnight (Apple M3 Chip / 256GB SSD / 8GB RAM) - English","$1,449.99",4.92,579,https://www.bestbuy.ca/en-ca/product/apple-macbook-air-13-w-touch-id-2024-midnight-apple-m3-chip-256gb-ssd-8gb-ram-english/17755677
"Lenovo IdeaPad Slim 3i 15.6"" Laptop - Arctic Grey (Intel Core i7-1355U/16GB RAM/512GB SSD/Windows 11)",$849.99,4.59,92,https://www.bestbuy.ca/en-ca/product/lenovo-ideapad-slim-3i-15-6-laptop-arctic-grey-intel-core-i7-1355u-16gb-ram-512gb-ssd-windows-11/16948052
"Lenovo IdeaPad Duet 5 13.3"" Touchscreen 2-in-1 Chromebook - Abyss Blue (Qualcomm Snapdragon 7c Gen 2/128GB SSD/8GB RAM)",$499.99,4.13,8,https://www.bestbuy.ca/en-ca/product/lenovo-ideapad-duet-5-13-3-touchscreen-2-in-1-chromebook-abyss-blue-qualcomm-snapdragon-7c-gen-2-128gb-ssd-8gb-ram/17732137
"ASUS ZenBook 14 OLED 14"" Touchscreen Laptop - Blue (Intel Core Ultra 7 155H - Evo Edition/1TB/16GB RAM/Win 11)","$1,499.99",4.5,14,https://www.bestbuy.ca/en-ca/product/asus-zenbook-14-oled-14-touchscreen-laptop-blue-intel-core-ultra-7-155h-evo-edition-1tb-16gb-ram-win-11/17631761
"ASUS ROG Zephyrus G14 OLED Nebula14"" Gaming Laptop -Eclipse Grey (AMD Ryzen 9 8945HS/1TB SSD/32GB RAM/GeForce RTX 4060)","$2,399.99",5.0,4,https://www.bestbuy.ca/en-ca/product/asus-rog-zephyrus-g14-oled-nebula14-gaming-laptop-eclipse-grey-amd-ryzen-9-8945hs-1tb-ssd-32gb-ram-geforce-rtx-4060/17717669
"Acer Predator Helios Neo 16"" Gaming Laptop (Intel Core i7-13700HX /1TB SSD/16GB RAM/GeForce RTX 4050)","$1,399.99",4.75,296,https://www.bestbuy.ca/en-ca/product/acer-predator-helios-neo-16-gaming-laptop-intel-core-i7-13700hx-1tb-ssd-16gb-ram-geforce-rtx-4050/17717688
"Lenovo Yoga 7i 14"" 2-in-1 Touchscreen Laptop - Storm Grey (Intel Core Ultra 7 Processor 155U/1TB SSD/16GB RAM)","$1,199.99",5.0,1,https://www.bestbuy.ca/en-ca/product/lenovo-yoga-7i-14-2-in-1-touchscreen-laptop-storm-grey-intel-core-ultra-7-processor-155u-1tb-ssd-16gb-ram/17732149
"Open Box - Apple MacBook Air (2022) 13.6"" w/ Touch ID (2022) - Midnight (Apple M2 Chip / 256GB SSD / 8GB RAM) - Eng",$999.99,5.0,1,https://www.bestbuy.ca/en-ca/product/open-box-apple-macbook-air-2022-13-6-w-touch-id-2022-midnight-apple-m2-chip-256gb-ssd-8gb-ram-eng/16617997
"ASUS Zenbook DUO 14"" OLED Touchscreen Laptop - Grey (Intel Core Ultra 7 EVO/1TB SSD/16GB RAM) - En","$2,199.99",4.36,11,https://www.bestbuy.ca/en-ca/product/asus-zenbook-duo-14-oled-touchscreen-laptop-grey-intel-core-ultra-7-evo-1tb-ssd-16gb-ram-en/17716235
"ASUS TUF A15 15.6"" Gaming Laptop - Graphite Black (AMD Ryzen 5 7535HS/1TB SSD/16GB RAM/GeForce RTX 2050)",$899.99,3.67,3,https://www.bestbuy.ca/en-ca/product/asus-tuf-a15-15-6-gaming-laptop-graphite-black-amd-ryzen-5-7535hs-1tb-ssd-16gb-ram-geforce-rtx-2050/17697536
"Lenovo Yoga 7i 14"" 2-in-1 Touchscreen Laptop - Storm Grey (Intel Core Ultra 5 125U/16GB RAM/512GB SSD)","$1,199.99",4.33,6,https://www.bestbuy.ca/en-ca/product/lenovo-yoga-7i-14-2-in-1-touchscreen-laptop-storm-grey-intel-core-ultra-5-125u-16gb-ram-512gb-ssd/17732148
"MSI Vector 17 Series 17"" Gaming Laptop -Cosmos Grey (Intel Core i9-14900HX /1TB/32GB RAM/GeForce RTX 4070)","$2,799.99",0.0,0,https://www.bestbuy.ca/en-ca/product/msi-vector-17-series-17-gaming-laptop-cosmos-grey-intel-core-i9-14900hx-1tb-32gb-ram-geforce-rtx-4070/17685420
"ASUS ROG Strix G16 16"" Gaming Laptop - Eclipse Grey (Intel i7-13650HX/16GB RAM/1TB SSD/GeForce RTX 3050) - English","$1,299.99",4.8,5,https://www.bestbuy.ca/en-ca/product/asus-rog-strix-g16-16-gaming-laptop-eclipse-grey-intel-i7-13650hx-16gb-ram-1tb-ssd-geforce-rtx-3050-english/17970277
"Microsoft Surface Laptop 13.8"" Touchscreen Copilot+ PC Laptop (Snapdragon X Plus/16GB RAM/256GB SSD) (2024) - Platinum - EN","$1,449.99",4.63,43,https://www.bestbuy.ca/en-ca/product/microsoft-surface-laptop-13-8-touchscreen-copilot-pc-laptop-snapdragon-x-plus-16gb-ram-256gb-ssd-2024-platinum-en/17924120
"ASUS ROG Strix G16 (2024) 16"" WQXGA 240Hz Gaming Laptop (Intel Core i9-14900HX/1TB SSD/32GB RAM/RTX 4060)","$2,199.99",5.0,2,https://www.bestbuy.ca/en-ca/product/asus-rog-strix-g16-2024-16-wqxga-240hz-gaming-laptop-intel-core-i9-14900hx-1tb-ssd-32gb-ram-rtx-4060/17698147
"ASUS ROG Zephyrus G16 OLED Nebula16"" Gaming Laptop -Eclipse Grey (Intel Core Ultra 7 155H/512GB SSD/16GB RAM/GeForce RTX 4060)","$1,999.99",4.0,3,https://www.bestbuy.ca/en-ca/product/asus-rog-zephyrus-g16-oled-nebula16-gaming-laptop-eclipse-grey-intel-core-ultra-7-155h-512gb-ssd-16gb-ram-geforce-rtx-4060/17717066
"HP 15.6"" Touchscreen Laptop - Natural Silver (Intel Core i7-1355U/16GB RAM/1TB SSD/Windows 11)",$999.99,3.79,87,https://www.bestbuy.ca/en-ca/product/hp-15-6-touchscreen-laptop-natural-silver-intel-core-i7-1355u-16gb-ram-1tb-ssd-windows-11/16938170
"Open Box - Apple MacBook Pro 14.2"" (Fall 2023) - Space Grey (Apple M3/ 512GB SSD/8GB RAM) - English","$1,699.99",0.0,0,https://www.bestbuy.ca/en-ca/product/open-box-apple-macbook-pro-14-2-fall-2023-space-grey-apple-m3-512gb-ssd-8gb-ram-english/17554170
